timestamp,ear,mar,p_drowsy,state
2025-11-23 22:27:49,0.122,0.000,1.00,fatigue_level_3
2025-11-23 22:28:22,0.155,0.014,1.00,fatigue_level_3
2025-11-23 22:29:03,0.112,0.020,1.00,fatigue_level_3
2025-11-23 22:35:21,0.104,0.000,1.00,fatigue_level_3
2025-11-23 22:35:33,0.123,0.017,1.00,fatigue_level_3
2025-11-23 22:44:50,0.214,0.000,0.93,fatigue_level_2
2025-11-23 22:44:55,0.156,0.034,1.00,fatigue_level_2
2025-11-23 22:44:58,0.210,0.048,0.95,fatigue_level_2
2025-11-23 22:45:04,0.216,0.017,0.93,fatigue_level_2
2025-11-23 22:45:09,0.208,0.015,0.95,fatigue_level_2
2025-11-23 22:45:18,0.193,0.000,0.98,fatigue_level_2
2025-11-23 22:45:23,0.209,0.014,0.95,fatigue_level_2
2025-11-23 22:45:29,0.219,0.014,0.91,fatigue_level_2
2025-11-23 22:45:37,0.218,0.015,0.92,fatigue_level_2
2025-11-23 22:50:16,0.218,0.118,0.93,fatigue_level_2
2025-11-23 22:50:19,0.187,0.000,0.99,fatigue_level_2
2025-11-23 22:52:00,0.211,0.029,0.95,fatigue_level_2
2025-11-24 06:46:46,0.207,0.036,0.96,fatigue_level_2
2025-11-24 06:46:51,0.202,0.026,0.97,fatigue_level_2
2025-11-24 06:46:57,0.192,0.052,0.99,fatigue_level_2
2025-11-24 06:47:01,0.217,0.052,0.93,fatigue_level_2
2025-11-24 06:47:08,0.215,0.059,0.93,fatigue_level_2
2025-11-24 06:47:10,0.130,0.108,1.00,fatigue_level_2
2025-11-24 06:47:16,0.143,0.023,1.00,fatigue_level_2
2025-11-24 06:47:19,0.213,0.063,0.94,fatigue_level_2
2025-11-24 06:47:25,0.219,0.310,0.95,fatigue_level_2
2025-11-24 06:47:30,0.194,0.038,0.98,fatigue_level_2
2025-11-24 06:47:39,0.208,0.022,0.96,fatigue_level_2
2025-11-24 07:01:45,0.211,0.113,0.96,fatigue_level_2
2025-11-24 07:01:46,0.216,0.156,0.94,fatigue_level_2
2025-11-24 07:01:46,0.206,0.115,0.97,fatigue_level_2
2025-11-24 07:01:46,0.212,0.044,0.95,fatigue_level_2
2025-11-24 07:01:47,0.202,0.125,0.97,fatigue_level_2
2025-11-24 07:01:51,0.170,0.196,1.00,fatigue_level_2
2025-11-24 07:01:59,0.069,0.129,1.00,fatigue_level_2
2025-11-24 07:02:00,0.208,0.144,0.97,fatigue_level_2
2025-11-24 07:02:00,0.212,0.150,0.96,fatigue_level_2
2025-11-24 07:02:00,0.219,0.210,0.94,fatigue_level_2
2025-11-24 07:02:00,0.200,0.284,0.98,fatigue_level_2
2025-11-24 07:02:02,0.196,0.066,0.98,fatigue_level_2
2025-11-24 07:02:03,0.193,0.031,0.98,fatigue_level_2
2025-11-24 07:02:04,0.136,0.028,1.00,fatigue_level_2
2025-11-24 07:02:04,0.080,0.341,1.00,fatigue_level_2
2025-11-24 07:02:20,0.144,0.047,1.00,fatigue_level_2
2025-11-24 07:02:21,0.111,0.145,1.00,fatigue_level_2
2025-11-24 07:02:23,0.136,0.035,1.00,fatigue_level_2
2025-11-24 07:02:23,0.123,0.113,1.00,fatigue_level_2
2025-11-24 07:02:23,0.085,0.055,1.00,fatigue_level_2
2025-11-24 07:02:23,0.107,0.295,1.00,fatigue_level_2
2025-11-24 07:02:23,0.110,0.428,1.00,fatigue_level_2
2025-11-24 07:02:24,0.111,0.018,1.00,fatigue_level_2
2025-11-24 07:02:25,0.125,0.514,1.00,fatigue_level_2
2025-11-24 07:02:25,0.104,0.021,1.00,fatigue_level_2
2025-11-24 07:02:26,0.131,0.020,1.00,fatigue_level_2
2025-11-24 07:02:26,0.104,0.030,1.00,fatigue_level_2
2025-11-24 07:02:27,0.142,0.071,1.00,fatigue_level_2
2025-11-24 07:02:27,0.129,0.015,1.00,fatigue_level_2
2025-11-24 07:02:28,0.146,0.000,1.00,fatigue_level_2
2025-11-24 07:02:28,0.145,0.090,1.00,fatigue_level_2
2025-11-24 07:02:28,0.147,0.015,1.00,fatigue_level_2
2025-11-24 07:02:28,0.145,0.020,1.00,fatigue_level_2
2025-11-24 07:02:28,0.145,0.075,1.00,fatigue_level_2
2025-11-24 07:02:29,0.135,0.015,1.00,fatigue_level_2
2025-11-24 07:02:29,0.132,0.000,1.00,fatigue_level_2
2025-11-24 07:02:29,0.085,0.000,1.00,fatigue_level_2
2025-11-24 07:02:31,0.139,0.016,1.00,fatigue_level_2
2025-11-24 07:02:35,0.134,0.000,1.00,fatigue_level_2
2025-11-24 07:02:36,0.142,0.030,1.00,fatigue_level_2
2025-11-24 07:02:36,0.184,0.014,0.99,fatigue_level_2
